date,close,high,low,trade_count,open,volume,vwap,low 0 - 5,high 0 - 5,low 5 - 10,high 5 - 10,low 5 - 15,high 5 - 15,200 day SMA,cash,shares,equity,underlying,scaled 200 day SMA
2016-10-17,37.29,37.7162,37.245,70466,37.55,17367068,37.37688,36.46,38.36,37.33,38.31,36.6,37.92,32.782999999999994,10000.0,0.0,10000.0,10000.0,10000.0
2016-10-18,37.75,38.05,37.53,156301,37.97,44537713,37.82091,36.46,38.0,37.33,38.36,36.63,37.95,32.80179999999999,10000.0,0.0,10000.0,10123.357468490212,10005.734679559528
2016-10-19,35.51,36.09,35.23,266439,36.07,79165017,35.591472,36.46,38.05,36.821,38.36,37.0,37.95,32.810199999999995,0.0,281.61081385525205,10000.0,9522.660230624831,10008.296983192507
2016-10-20,35.43,35.67,35.1,107311,35.41,27894158,35.413324,35.23,38.05,36.81,38.36,37.0,38.31,32.821949999999994,0.0,281.61081385525205,9977.47113489158,9501.206757843926,10011.881157917212
2016-10-21,35.15,35.4,34.81,82070,35.21,24129653,35.178877,35.1,38.05,36.46,38.36,37.33,38.31,32.838499999999996,0.0,281.61081385525205,9898.62010701211,9426.119603110754,10016.92950614648
2016-10-24,35.26,35.49,35.11,79899,35.43,24216286,35.250654,34.81,38.05,36.46,38.36,37.33,38.31,32.85724999999999,0.0,281.61081385525205,9929.597296536187,9455.6181281845,10022.648933898665
2016-10-25,35.1,35.25,35.01,73293,35.13,19573998,35.094873,34.81,38.05,36.46,38.0,37.33,38.36,32.87244999999999,0.0,281.61081385525205,9884.539566319347,9412.711182622686,10027.285483329775
2016-10-26,34.92,35.205,34.74,83991,35.02,21644235,34.966196,34.81,36.09,36.46,38.05,36.821,38.36,32.883649999999996,0.0,281.61081385525205,9833.849619825402,9364.440868865648,10030.70188817375
2016-10-27,34.81,35.23,34.75,68727,35.1,16160914,34.937666,34.74,35.67,35.23,38.05,36.81,38.36,32.898149999999994,0.0,281.61081385525205,9802.872430301324,9334.942343791901,10035.124912302106
2016-10-28,34.74,35.17,34.71,89345,34.86,25948940,34.852308,34.74,35.49,35.1,38.05,36.46,38.36,32.90815,0.0,281.61081385525205,9783.159673331456,9316.170555108609,10038.175273769943
2016-10-31,34.87,35.08,34.84,75494,34.93,21567565,34.931472,34.71,35.49,34.81,38.05,36.46,38.36,32.933699999999995,0.0,281.61081385525205,9819.769079132639,9351.03244837758,10045.968947320258
2016-11-01,34.52,35.16,34.27,105290,34.97,27279934,34.558333,34.71,35.25,34.81,38.05,36.46,38.0,32.9573,0.0,281.61081385525205,9721.205294283302,9257.173504961116,10053.167800384346
2016-11-02,34.6,34.9,34.47,88530,34.6,23015966,34.682204,34.27,35.23,34.81,36.09,36.46,38.05,32.98235,0.0,281.61081385525205,9743.73415939172,9278.626977742022,10060.808955861272
2016-11-03,33.93,34.52,33.87,89582,34.45,20949072,34.061881,34.27,35.23,34.74,35.67,35.23,38.05,33.0037,0.0,281.61081385525205,9555.054914108701,9098.95414320193,10067.321477595096
2016-11-04,33.61,33.93,33.42,90942,33.56,24355222,33.707515,33.87,35.17,34.74,35.49,35.1,38.05,33.022124999999996,0.0,281.61081385525205,9464.93945367502,9013.140252078305,10072.94176859958
2016-11-07,34.69,34.75,34.15,89063,34.24,21550315,34.527811,33.42,35.16,34.71,35.49,34.81,38.05,33.047574999999995,0.0,281.61081385525205,9769.079132638693,9302.762134620541,10080.704938535217
2016-11-08,34.74,34.95,34.49,73440,34.6,16208158,34.743469,33.42,35.16,34.71,35.25,34.81,38.05,33.071574999999996,0.0,281.61081385525205,9783.159673331456,9316.170555108609,10088.025806058018
2016-11-09,34.75,34.85,33.67,146437,34.13,28270829,34.514527,33.42,34.95,34.27,35.23,34.81,36.09,33.09627499999999,0.0,281.61081385525205,9785.975781470008,9318.85223920622,10095.560198883566
2016-11-10,34.5,34.95,34.025,150633,34.95,29883132,34.545362,33.42,34.95,34.27,35.23,34.74,35.67,33.11892499999999,0.0,281.61081385525205,9715.573078006195,9251.81013676589,10102.469267608209
2016-11-11,34.61,34.87,34.34,118430,34.48,24658145,34.560701,33.42,34.95,33.87,35.17,34.74,35.49,33.13687499999999,0.0,281.61081385525205,9746.550267530272,9281.308661839636,10107.944666442972
2016-11-14,34.48,34.73,34.2,103844,34.56,23991517,34.426888,33.67,34.95,33.42,35.16,34.71,35.49,33.155174999999986,0.0,281.61081385525205,9709.94086172909,9246.446768570662,10113.526827929107
2016-11-15,34.91,35.29,34.61,99559,34.635,22649591,34.939648,33.67,34.95,33.42,35.16,34.71,35.25,33.18072499999998,9831.033511686848,0.0,9831.033511686848,9361.759184768034,10121.32050147942
2016-11-16,34.84,34.92,34.54,82503,34.865,21192358,34.780813,33.67,35.29,33.42,34.95,34.27,35.23,33.208224999999985,9831.033511686848,0.0,9831.033511686848,9342.987396084742,10129.708995515964
2016-11-17,35.02,35.02,34.63,70660,34.81,16930287,34.921641,34.025,35.29,33.42,34.95,34.27,35.23,33.23447499999998,9831.033511686848,0.0,9831.033511686848,9391.257709841782,10137.716194369028
2016-11-18,34.95,35.0,34.64,64226,34.9,19474963,34.856442,34.2,35.29,33.42,34.95,33.87,35.17,33.26402499999998,9831.033511686848,0.0,9831.033511686848,9372.485921158488,10146.730012506478
2016-11-21,34.98,35.2,34.84,71097,35.0,15685044,34.987091,34.2,35.29,33.67,34.95,33.42,35.16,33.29482499999998,9831.033511686848,0.0,9831.033511686848,9380.530973451327,10156.125125827406
2016-11-22,35.48,35.5,35.11,88943,35.17,25513575,35.399419,34.54,35.29,33.67,34.95,33.42,35.16,33.32817499999998,9831.033511686848,0.0,9831.033511686848,9514.615178331993,10166.298081322633
2016-11-23,35.2,35.52,35.1,76940,35.48,18222819,35.24752,34.54,35.5,33.67,35.29,33.42,34.95,33.36302499999998,9831.033511686848,0.0,9831.033511686848,9439.528023598821,10176.928591038033
2016-11-25,35.44,35.45,35.11,29897,35.21,7459109,35.368487,34.63,35.52,34.025,35.29,33.42,34.95,33.39912499999998,9831.033511686848,0.0,9831.033511686848,9503.888441941539,10187.940395936914
2016-11-28,35.51,35.66,35.21,63710,35.36,16561883,35.498495,34.64,35.52,34.2,35.29,33.42,34.95,33.43347499999997,9831.033511686848,0.0,9831.033511686848,9522.660230624831,10198.418387578922
2016-11-29,35.31,35.64,35.27,74983,35.63,21359936,35.414142,34.84,35.66,34.2,35.29,33.67,34.95,33.46612499999998,9831.033511686848,0.0,9831.033511686848,9469.026548672568,10208.377817771401
